trigcell0,trigcell1,trigcell2,trigcell3,trigcell4,trigcell5,trigcell6,trigcell7,trigcell8,trigcell9,trigcell10,trigcell11,trigcell12,trigcell13,trigcell14,trigcell15,trigcell16,trigcell17,trigcell18,trigcell19,trigcell20,trigcell21,trigcell22,trigcell23,trigcell24,trigcell25,trigcell26,trigcell27,trigcell28,trigcell29,trigcell30,trigcell31,trigcell32,trigcell33,trigcell34,trigcell35,trigcell36,trigcell37,trigcell38,trigcell39,trigcell40,trigcell41,trigcell42,trigcell43,trigcell44,trigcell45,trigcell46,trigcell47
24.0,448.0,104.0,0000000,384.0,704.0,52.0,64.0,112.0,22.0,0000000,288.0,0000000,144.0,480.0,88.0,512.0,0000000,384.0,0000000,72.0,72.0,0000000,96.0,72.0,640.0,0000000,224.0,56.0,256.0,320.0,224.0,128.0,36.0,1152.0,240.0,144.0,96.0,32.0,288.0,0000000,256.0,480.0,384.0,448.0,1024.0,224.0,704.0
40.0,256.0,104.0,576.0,104.0,256.0,64.0,256.0,256.0,144.0,26.0,0000000,80.0,0000000,36.0,0000000,40.0,0000000,0000000,640.0,60.0,104.0,576.0,0000000,16.0,0000000,0000000,30.0,352.0,72.0,160.0,416.0,240.0,0000000,256.0,1792.0,60.0,52.0,144.0,160.0,640.0,1408.0,40.0,352.0,0000000,0000000,22.0,960.0
0000000,1152.0,768.0,36.0,160.0,80.0,0000000,0000000,56.0,56.0,0000000,384.0,176.0,60.0,52.0,1152.0,384.0,640.0,352.0,160.0,176.0,384.0,192.0,832.0,576.0,320.0,576.0,1152.0,192.0,28.0,30.0,72.0,112.0,0000000,576.0,48.0,0000000,640.0,704.0,88.0,56.0,640.0,208.0,104.0,768.0,832.0,104.0,72.0
0000000,224.0,224.0,24.0,40.0,60.0,0000000,144.0,96.0,128.0,576.0,64.0,28.0,112.0,416.0,352.0,352.0,2048.0,22.0,128.0,176.0,256.0,36.0,72.0,352.0,192.0,64.0,0000000,0000000,256.0,256.0,176.0,160.0,384.0,384.0,256.0,160.0,104.0,192.0,1152.0,72.0,16.0,448.0,1408.0,144.0,88.0,480.0,288.0
48.0,104.0,64.0,72.0,0000000,20.0,36.0,72.0,20.0,0000000,0000000,24.0,120.0,320.0,256.0,384.0,104.0,192.0,88.0,768.0,48.0,192.0,72.0,80.0,112.0,56.0,0000000,60.0,0000000,320.0,0000000,40.0,224.0,768.0,176.0,256.0,60.0,240.0,120.0,128.0,120.0,448.0,240.0,0000000,0000000,448.0,60.0,36.0
80.0,104.0,0000000,480.0,208.0,60.0,60.0,56.0,40.0,288.0,22.0,0000000,72.0,0000000,56.0,0000000,288.0,224.0,44.0,64.0,1024.0,1152.0,224.0,416.0,256.0,512.0,288.0,224.0,28.0,640.0,28.0,64.0,224.0,320.0,240.0,22.0,128.0,60.0,480.0,704.0,0000000,192.0,576.0,208.0,240.0,144.0,1792.0,176.0
512.0,26.0,0000000,18.0,0000000,96.0,64.0,128.0,0000000,112.0,480.0,22.0,0000000,72.0,512.0,832.0,120.0,160.0,72.0,16.0,52.0,104.0,44.0,52.0,0000000,160.0,224.0,16.0,224.0,120.0,144.0,208.0,0000000,112.0,416.0,0000000,20.0,16.0,448.0,60.0,36.0,52.0,512.0,26.0,80.0,640.0,120.0,60.0
0000000,104.0,288.0,120.0,36.0,240.0,0000000,0000000,64.0,0000000,80.0,0000000,104.0,72.0,0000000,192.0,0000000,208.0,208.0,22.0,40.0,384.0,40.0,448.0,288.0,80.0,320.0,26.0,832.0,52.0,26.0,80.0,0000000,32.0,384.0,128.0,0000000,576.0,320.0,112.0,0000000,512.0,1408.0,384.0,320.0,176.0,2816.0,224.0
768.0,72.0,28.0,22.0,0000000,0000000,0000000,704.0,4096.0,128.0,0000000,20.0,18.0,52.0,0000000,0000000,480.0,352.0,160.0,32.0,52.0,0000000,120.0,240.0,576.0,40.0,176.0,80.0,224.0,192.0,352.0,26.0,0000000,72.0,0000000,0000000,64.0,112.0,144.0,640.0,512.0,640.0,120.0,224.0,1280.0,960.0,224.0,512.0
256.0,1536.0,1152.0,20.0,0000000,0000000,30.0,16.0,56.0,28.0,24.0,60.0,112.0,72.0,72.0,320.0,128.0,512.0,80.0,768.0,0000000,352.0,36.0,24.0,44.0,256.0,224.0,512.0,24.0,192.0,64.0,0000000,0000000,0000000,20.0,448.0,48.0,0000000,56.0,128.0,576.0,176.0,240.0,320.0,80.0,0000000,768.0,80.0
