trigcell0,trigcell1,trigcell2,trigcell3,trigcell4,trigcell5,trigcell6,trigcell7,trigcell8,trigcell9,trigcell10,trigcell11,trigcell12,trigcell13,trigcell14,trigcell15,trigcell16,trigcell17,trigcell18,trigcell19,trigcell20,trigcell21,trigcell22,trigcell23,trigcell24,trigcell25,trigcell26,trigcell27,trigcell28,trigcell29,trigcell30,trigcell31,trigcell32,trigcell33,trigcell34,trigcell35,trigcell36,trigcell37,trigcell38,trigcell39,trigcell40,trigcell41,trigcell42,trigcell43,trigcell44,trigcell45,trigcell46,trigcell47
0000000,0000000,0000000,0000000,72.0,0000000,0000000,20.0,0000000,28.0,0000000,0000000,0000000,0000000,0000000,0000000,28.0,288.0,0000000,0000000,192.0,288.0,52.0,0000000,448.0,288.0,64.0,0000000,0000000,18.0,30.0,36.0,52.0,14.0,28.0,0000000,0000000,36.0,0000000,88.0,24.0,0000000,0000000,0000000,0000000,96.0,0000000,0000000
14.0,192.0,20.0,22.0,0000000,448.0,0000000,384.0,0000000,0000000,0000000,0000000,40.0,192.0,0000000,0000000,960.0,256.0,0000000,104.0,176.0,36.0,26.0,88.0,0000000,0000000,32.0,224.0,64.0,0000000,96.0,0000000,0000000,0000000,36.0,52.0,640.0,16.0,56.0,48.0,0000000,56.0,28.0,128.0,240.0,0000000,0000000,416.0
128.0,72.0,0000000,0000000,256.0,0000000,0000000,40.0,288.0,0000000,0000000,0000000,0000000,0000000,22.0,0000000,0000000,0000000,0000000,0000000,0000000,0000000,80.0,512.0,0000000,144.0,0000000,26.0,0000000,16.0,0000000,14.0,144.0,0000000,0000000,0000000,0000000,320.0,0000000,0000000,0000000,0000000,0000000,0000000,320.0,512.0,0000000,14.0
64.0,20.0,0000000,256.0,96.0,160.0,416.0,240.0,0000000,0000000,0000000,26.0,224.0,28.0,0000000,0000000,40.0,128.0,256.0,416.0,26.0,208.0,320.0,16.0,48.0,160.0,960.0,0000000,0000000,52.0,72.0,0000000,0000000,40.0,0000000,0000000,36.0,56.0,0000000,0000000,60.0,0000000,32.0,0000000,0000000,0000000,0000000,16.0
96.0,0000000,0000000,0000000,0000000,0000000,0000000,0000000,160.0,0000000,0000000,176.0,104.0,88.0,320.0,0000000,0000000,52.0,44.0,120.0,0000000,48.0,88.0,0000000,72.0,80.0,160.0,0000000,224.0,120.0,0000000,0000000,0000000,0000000,0000000,36.0,0000000,30.0,16.0,0000000,0000000,0000000,128.0,60.0,88.0,72.0,0000000,22.0
64.0,0000000,56.0,32.0,0000000,0000000,88.0,0000000,0000000,52.0,24.0,0000000,0000000,320.0,14.0,0000000,60.0,0000000,96.0,16.0,48.0,0000000,36.0,192.0,64.0,30.0,28.0,22.0,44.0,0000000,60.0,16.0,0000000,0000000,80.0,0000000,0000000,24.0,128.0,0000000,208.0,176.0,26.0,14.0,0000000,0000000,0000000,30.0
288.0,288.0,0000000,0000000,0000000,0000000,0000000,28.0,0000000,0000000,24.0,40.0,0000000,0000000,0000000,0000000,88.0,52.0,0000000,16.0,26.0,0000000,224.0,256.0,16.0,0000000,60.0,0000000,0000000,256.0,240.0,0000000,224.0,0000000,0000000,0000000,60.0,0000000,0000000,0000000,0000000,0000000,24.0,60.0,0000000,0000000,0000000,0000000
0000000,64.0,0000000,40.0,0000000,144.0,224.0,64.0,0000000,0000000,44.0,22.0,48.0,0000000,0000000,0000000,0000000,40.0,30.0,0000000,0000000,96.0,72.0,120.0,0000000,0000000,240.0,176.0,18.0,14.0,0000000,0000000,112.0,16.0,0000000,22.0,72.0,0000000,36.0,0000000,22.0,0000000,288.0,0000000,0000000,0000000,0000000,0000000
22.0,14.0,0000000,0000000,0000000,0000000,40.0,512.0,512.0,0000000,0000000,160.0,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,96.0,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,24.0,48.0,0000000,60.0,144.0,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,52.0,80.0,104.0,40.0
0000000,0000000,416.0,512.0,44.0,144.0,80.0,0000000,52.0,0000000,28.0,112.0,0000000,0000000,0000000,0000000,22.0,0000000,26.0,640.0,20.0,0000000,0000000,112.0,48.0,72.0,352.0,120.0,0000000,0000000,640.0,96.0,0000000,0000000,48.0,416.0,96.0,0000000,0000000,60.0,0000000,0000000,32.0,0000000,240.0,0000000,0000000,176.0
