triglink0,triglink1,triglink2,triglink3,triglink4,triglink5,triglink6,triglink7,triglink8,triglink9,triglink10,triglink11
0001100010111000111010000000,0101100011001100101010011000,0011110000101100000000101001,0000000010000101011110011011,0110000000000001011000000000,0011001001100100000000011100,0011001011001000000000100110,0010110010100001010100100110,0100000001000101110010100111,0100001001110000100000101001,0000000010100001011110101100,0101110011100001001100110011
0010010010100000111010110001,0011101010100000110000101000,0101000010000100011010000000,0011010000000000100010000000,0010010000000000000000110010,0010111001110101100010000000,0001000000000000000000001111,0101011001100101000100101101,0100111000000001010000111110,0010111001010101000010100010,0110010011101100100100101011,0000000000000000010110110111
0000000011100101101000010001,0100010001101000000000000000,0010110001011000000000101100,0100011001011100101010111001,0101100011001001010110100010,0100011010110001001000110101,0110001010101001100010111001,0100100000111000011110011001,0011110000000001100010010100,0000000011001001100110011011,0010110011001001001010011101,0110100011010100111010011001
0000000010011001001100001100,0010010001011100000000100001,0011100010000001100010011000,0001110001111001011010101011,0101011100000000010110100000,0100011010100000100010011001,0101011010010000110000000000,0000000010100001010000100011,0100010010110001011000101000,0100010001110101001000111001,0011001000100001011100111011,0100001001101101011110101001
0010100001110100110000011001,0000000000101000100010011001,0001010000000000000000001100,0011111010101001010000101100,0011101010010000110110110100,0010100010010000110010011010,0011110001011000000000010111,0000000010101000000000010010,0100110011010001000110101000,0010111010011100111110100000,0011111010111001001110000000,0000000010111000101110010001
0011010001110100000000101111,0100101001011100101110010110,0010010010100100010110000000,0011001000000000101100000000,0101001010011000100110011000,0111000011100101001100101101,0101000011000001010010100110,0001110011001000011100011000,0100110010101001001110001011,0100000001011101011110110011,0000000010010001100010100101,0100111010000101111100100011
0110000000110100000000001001,0000000001110000110000100000,0000000001111001011110001011,0000000001100101100000110101,0011111010001000110010001000,0010101001110100100110010101,0000000010001001001100001000,0100110001111101000010100101,0000000001111001011010000000,0001010000100001011100010111,0010001001010101100000001101,0011010011001000111110010111
0000000001110101010010011111,0010001010011100000000000000,0011000000000000110100000000,0011101001100100000000100100,0000000010010101001010001011,0010010010110000100100101110,0101001001101001010100001101,0110101001010100011010011010,0000000001000001011000100000,0000000011000101010100011110,0000000011000001110110101100,0101010010001110000110100110
0110100001100100011100001011,0000000000000000000000110011,1001000010000000000000001010,0001001001010100000000000000,0101111010101101000100010000,0010101000000000111110100111,0110001001001001000110011010,0100110010010001010110001101,0000000001100100000000000000,0011000001111001000010110010,0110000011001000111110100110,0111010011011101001100110000
0101000011110001110010001010,0000000000000000011110001000,0010110000111000011000010111,0011110001100100110010101010,0100000011000000110100110100,0000000010101100100010001100,0010011010100001001100110000,0001100010010000110000000000,0000000000000000010100101110,0010100000000000101100100000,0110001010001101001110101010,0011010000000001101000011010
