triglink0,triglink1,triglink2,triglink3,triglink4,triglink5,triglink6,triglink7,triglink8,triglink9,triglink10,triglink11
0000000000000000000000000000,0011001000000000000000001010,0000000000111000000000000000,0000000000000000000000000000,0001110010100100000000000000,0100100010100100101010000000,0101110010100100110000000000,0000000000100100011110010001,0010101000011100011100000000,0000000001000100000000011011,0001100000000000000000000000,0000000001110000000000000000
0000111010010000010100001011,0000000010111000000000101100,0000000000000000000000000000,0010010010010000000000000000,0110111010100000000000011101,0100011001000100011010011011,0000000000000000100000100110,0011000000000000111000000000,0000000000000000100010010101,01100100000100000101100010100,0000000001011000011100100000,0100111000000000000000101101
0100000001100100000000000000,0101000000000000000000010010,0101001000000000000000000000,0000000000000000010110000000,0000000000000000000000000000,0000000000000000110100110000,0000000010000100000000001101,0000000000100000000000000111,0100001000000000000000000000,0000000010101000000000000000,0000000000000000000000000000,0101010011000000000000000111
0011000000101000000000101000,0011100010001001011010100111,0000000000000000000000001101,0100110000111000000000000000,0010010010000001010000101101,0001101010010101010100001000,0010100010001001101110000000,0000000001010100110010000000,0000000001001000000000000000,0010001001011000000000000000,0010111000000000100000000000,0000000000000000000000001000
0011100000000000000000000000,0000000000000000000000000000,0100010000000000000000100011,0011101001101101010100000000,0000000001010100100110011111,0000000001010000110110000000,0011001001101001000100000000,0100110001111100000000000000,0000000000000000000000010001,0000000000111100010000000000,0000000000000001000000010111,0011011001100100000000001011
0011000000000000101100010000,0000000000000000110110000000,0000000001010100011000000000,0000000010101000001110000000,0010111000000000111000001000,0010100000000000100010100100,0011000000111100011100001011,0010011000000000101110001000,0000000000000000110100000000,0000000000110001000000000000,0100101010001100011010000111,0000000000000000000000001111
0101001010100100000000000000,0000000000000000000000001110,0000000000000000011000010010,0000000000000000000000000000,0011011001010100000000001000,0001101000000001001100101000,00001000000000000101110000000,0000000010100001001110000000,0100110000000000000000000000,0010111000000000000000000000,0000000000000000011000010111,0000000000000000000000000000
0000000001100000000000010010,0000000010000101001100011000,0000000000000000100110001011,0010100000000000000000000000,0000000001001000011110000000,0000000001110000110010011111,0000000000000001001110100011,0001001000011100000000000000,0011110000100000000000001011,0011001000000000100010000000,0001011000000001010010000000,0000000000000000000000000000
0001011000011100000000000000,0000000000000000100100110000,0110000000000000000000100010,0000000000000000000000000000,0000000000000000000000000000,0011100000000000000000000000,0000000000000000000000000000,0000000000000000000000001100,0010100000000000101110100001,0000000000000000000000000000,0000000000000000000000000000,0010101001101000111010010010
0000000000000001011010110000,0010011010000100110100000000,0010101000000000011100011110,0000000000000000000000000000,0001011000000000011010110010,0001010000000000000000011110,0010100001100101010110011111,0000000000000001100100011100,0000000000000000101000101101,0011100000000000000000010111,0000000000000000100000000000,0100111000000000000000100011
