triggercell,isHDM,nlinkbits,nlink,nHGROC
0,True,0,0,0
1,True,1,0,0
2,True,2,0,0
3,True,3,0,0
4,True,0,1,0
5,True,1,1,0
6,True,2,1,0
7,True,3,1,0
8,True,0,0,1
9,True,1,0,1
10,True,2,0,1
11,True,3,0,1
12,True,0,1,1
13,True,1,1,1
14,True,2,1,1
15,True,3,1,1
16,True,0,0,2
17,True,1,0,2
18,True,2,0,2
19,True,3,0,2
20,True,0,1,2
21,True,1,1,2
22,True,2,1,2
23,True,3,1,2
24,True,0,0,3
25,True,1,0,3
26,True,2,0,3
27,True,3,0,3
28,True,0,1,3
29,True,1,1,3
30,True,2,1,3
31,True,3,1,3
32,True,0,0,4
33,True,1,0,4
34,True,2,0,4
35,True,3,0,4
36,True,0,1,4
37,True,1,1,4
38,True,2,1,4
39,True,3,1,4
40,True,0,0,5
41,True,1,0,5
42,True,2,0,5
43,True,3,0,5
44,True,0,1,5
45,True,1,1,5
46,True,2,1,5
47,True,3,1,5
