triggercell,isHDM,nlinkbits,nlink,nHGROC
0,False,0,0,0
1,False,1,0,0
2,False,2,0,0
3,False,3,0,0
4,False,0,1,0
5,False,1,1,0
6,False,2,1,0
7,False,3,1,0
8,False,0,2,0
9,False,1,2,0
10,False,2,2,0
11,False,3,2,0
12,False,0,3,0
13,False,1,3,0
14,False,2,3,0
15,False,3,3,0
16,False,0,0,1
17,False,1,0,1
18,False,2,0,1
19,False,3,0,1
20,False,0,1,1
21,False,1,1,1
22,False,2,1,1
23,False,3,1,1
24,False,0,2,1
25,False,1,2,1
26,False,2,2,1
27,False,3,2,1
28,False,0,3,1
29,False,1,3,1
30,False,2,3,1
31,False,3,3,1
32,False,0,0,2
33,False,1,0,2
34,False,2,0,2
35,False,3,0,2
36,False,0,1,2
37,False,1,1,2
38,False,2,1,2
39,False,3,1,2
40,False,0,2,2
41,False,1,2,2
42,False,2,2,2
43,False,3,2,2
44,False,0,3,2
45,False,1,3,2
46,False,2,3,2
47,False,3,3,2
